"Manuscript H-ID","repository_key (Organisation) H-ID","Short name / acronym",Country(ies),idno,"iiif manifest",Digitization-type
2021,739660,"Moûtiers, Musée de l'académie de la Val d'Isère",France,2,https://api.irht.cnrs.fr/ark:/63955/f87grozudi7a/manifest.json,
2022,739661,"Mulhouse, Bibliothèque municipale",France,AW02,https://api.irht.cnrs.fr/ark:/63955/f9gyma9hvfws/manifest.json,
2023,739661,"Mulhouse, Bibliothèque municipale",France,AW03,https://api.irht.cnrs.fr/ark:/63955/fmikse3w4xam/manifest.json,
2044,739668,"Nantes, Bibliothèque municipale",France,"0018 (lat. 0018)",https://bvmm.irht.cnrs.fr/iiif/4394/manifest,
2097,739681,"Paris, Bibliothèque de l'Assemblée Nationale",France,11,https://api.irht.cnrs.fr/ark:/63955/fk5xajks1num/manifest.json,
2105,739682,"Paris, Bibliothèque de l'Ecole des Beaux-Arts",France,"Mn.Mas 0001",https://api.irht.cnrs.fr/ark:/63955/fiqjdxvppyn7/manifest.json,
2106,739682,"Paris, Bibliothèque de l'Ecole des Beaux-Arts",France,"Mn.Mas 0003",https://api.irht.cnrs.fr/ark:/63955/fgn5q71eyjzs/manifest.json,
2107,739682,"Paris, Bibliothèque de l'Ecole des Beaux-Arts",France,"Mn.Mas 0055",https://api.irht.cnrs.fr/ark:/63955/fjwepxnmsf1r/manifest.json,
2108,739682,"Paris, Bibliothèque de l'Ecole des Beaux-Arts",France,"Mn.Mas 0056",https://api.irht.cnrs.fr/ark:/63955/f48ey0naraqn/manifest.json,
2109,739682,"Paris, Bibliothèque de l'Ecole des Beaux-Arts",France,"Mn.Mas 0057",https://api.irht.cnrs.fr/ark:/63955/fg569gnq1om4/manifest.json,
2110,739682,"Paris, Bibliothèque de l'Ecole des Beaux-Arts",France,"Mn.Mas 0058",https://api.irht.cnrs.fr/ark:/63955/fl7dlm7q2r13/manifest.json,
2111,739682,"Paris, Bibliothèque de l'Ecole des Beaux-Arts",France,"Mn.Mas 0059",https://api.irht.cnrs.fr/ark:/63955/f1wbjlzwcy4q/manifest.json,
2112,739682,"Paris, Bibliothèque de l'Ecole des Beaux-Arts",France,"Mn.Mas 0060",https://api.irht.cnrs.fr/ark:/63955/ff7sinho1gr9/manifest.json,
2113,739682,"Paris, Bibliothèque de l'Ecole des Beaux-Arts",France,"Mn.Mas 0061",https://api.irht.cnrs.fr/ark:/63955/f52nsitpr2qp/manifest.json,
2114,739682,"Paris, Bibliothèque de l'Ecole des Beaux-Arts",France,"Mn.Mas 0062",https://api.irht.cnrs.fr/ark:/63955/f6o5lx34ft3j/manifest.json,
