Country;Settlement;Repository;Shelfmark;manifest;IMPR
FR;Beaune;Archives hospitalières;Layette 122, 06;https://bvmm.irht.cnrs.fr/iiif/23172/manifest;
FR;Beaune;Archives hospitalières;Layette 122, 09;https://bvmm.irht.cnrs.fr/iiif/23167/manifest;
FR;Beaune;Archives hospitalières;Layette 123, 04;https://bvmm.irht.cnrs.fr/iiif/23168/manifest;
FR;Beaune;Archives hospitalières;Layette 123, 05;https://bvmm.irht.cnrs.fr/iiif/23171/manifest;
FR;Beaune;Archives hospitalières;Layette 123, 06;https://bvmm.irht.cnrs.fr/iiif/23170/manifest;
FR;Beaune;Bibliothèque municipale;039 (038);https://bvmm.irht.cnrs.fr/iiif/23069/manifest;
FR;Beaune;Bibliothèque municipale;045 (044);https://bvmm.irht.cnrs.fr/iiif/23094/manifest;
FR;Beaune;Bibliothèque municipale;053 (052);https://bvmm.irht.cnrs.fr/iiif/23077/manifest;
FR;Beaune;Bibliothèque municipale;054 (053);https://bvmm.irht.cnrs.fr/iiif/23082/manifest;
FR;Beaune;Bibliothèque municipale;055 (054);https://bvmm.irht.cnrs.fr/iiif/23083/manifest;
FR;Beaune;Bibliothèque municipale;059 (058);https://bvmm.irht.cnrs.fr/iiif/23084/manifest;
FR;Beaune;Bibliothèque municipale;060 (059);https://bvmm.irht.cnrs.fr/iiif/23085/manifest;
FR;Besançon;Bibliothèque municipale;0050;https://bvmm.irht.cnrs.fr/iiif/21534/manifest;
FR;Besançon;Bibliothèque municipale;0154;https://bvmm.irht.cnrs.fr/iiif/21535/manifest;
FR;Besançon;Bibliothèque municipale;0155;https://bvmm.irht.cnrs.fr/iiif/21536/manifest;
FR;Bordeaux;Bibliothèque municipale;0090;https://bvmm.irht.cnrs.fr/iiif/3902/manifest;
FR;Bordeaux;Bibliothèque municipale;0091;https://bvmm.irht.cnrs.fr/iiif/3901/manifest;
FR;Bordeaux;Bibliothèque municipale;0094;https://bvmm.irht.cnrs.fr/iiif/3898/manifest;
FR;Bordeaux;Bibliothèque municipale;1525;https://bvmm.irht.cnrs.fr/iiif/3391/manifest;
FR;Bordeaux;Bibliothèque municipale;1780;https://bvmm.irht.cnrs.fr/iiif/3386/manifest;
FR;Bordeaux;Bibliothèque municipale;Inc. 319;https://bvmm.irht.cnrs.fr/iiif/3039/manifest;Impr
FR;Boulogne-sur-Mer;Bibliothèque municipale;0089;https://bvmm.irht.cnrs.fr/iiif/88/manifest;
FR;Boulogne-sur-Mer;Bibliothèque municipale;0504;https://bvmm.irht.cnrs.fr/iiif/120/manifest;
FR;Boulogne-sur-Mer;Bibliothèque municipale;1154;https://bvmm.irht.cnrs.fr/iiif/122/manifest;
FR;Caen;Musée des Beaux-Arts;FMM.238;https://bvmm.irht.cnrs.fr/iiif/19763/manifest;
FR;Caen;Musée des Beaux-Arts;FMM.239;https://bvmm.irht.cnrs.fr/iiif/19755/manifest;
FR;Caen;Musée des Beaux-Arts;FMM.241;https://bvmm.irht.cnrs.fr/iiif/19745/manifest;
FR;Caen;Musée des Beaux-Arts;FMM.273;https://bvmm.irht.cnrs.fr/iiif/19749/manifest;
FR;Chalon-sur-Saône;Musée Denon;inv. 2005.0.3.16;https://bvmm.irht.cnrs.fr/iiif/19844/manifest;
