"from","to","weight"
"Aix-en-Provence","Poitiers Sainte-Trinité O.S.B. f.",13
"Aix-en-Provence","Regensburg",50
"Aix-en-Provence","Reims",24
"Aix-en-Provence","Reims Saint-Denis O.S.A.",16
"Aix-en-Provence","Rennes [1401 to 1500]",19
"Aix-en-Provence","Rennes [1430]",19
"Aix-en-Provence","Rennes Notre-Dame-en-Saint-Melaine",29
"Aix-en-Provence","Roma",35
"Aix-en-Provence","Romans-sur-Isère Saint-Barnard",37
"Aix-en-Provence","Ronse Sint-Hermes",17
"Aix-en-Provence","Rouen",17
"Aix-en-Provence","Rouen Saint-Ouen O.S.B.",20
"Aix-en-Provence","Saint-Antoine des Champs O.Cist.",33
"Aix-en-Provence","Saint-Brieuc",19
"Aix-en-Provence","Saint-Denis O.S.B.",29
"Aix-en-Provence","Saint-Lô Sainte-Croix O.S.A.",26
"Aix-en-Provence","Saint-Magloire",44
"Aix-en-Provence","Saint-Malo",21
"Aix-en-Provence","Saint-Omer [1201 to 1300]",26
"Aix-en-Provence","Saint-Omer [1518]",24
"Aix-en-Provence","Saint-Omer Saint-Bertin O.S.B.",27
"Aix-en-Provence","Saint-Paul-Trois-Châteaux",64
"Aix-en-Provence","Saint-Pierre de La Couture O.S.B.",17
"Aix-en-Provence","Saint-Pol-de-Léon",11
"Aix-en-Provence","Saint-Quentin",30
"Aix-en-Provence","Saint-Quentin-en-l'Isle O.S.B.",30
"Aix-en-Provence","Saint-Riquier",35
"Aix-en-Provence","Saint-Savin-en-Lavedan O.S.B.",24
"Aix-en-Provence","Saint-Thierry Saint-Thierry O.S.B.",37
"Aix-en-Provence","Saintes",28
"Aix-en-Provence","Sarum",17
"Aix-en-Provence","Saumur Saint-Florent O.S.B.",27
"Aix-en-Provence","Séez",27
"Aix-en-Provence","Senlis",34
"Aix-en-Provence","Senones",24
"Aix-en-Provence","Sens",25
"Aix-en-Provence","Sens Saint-Pierre-le-Vif O.S.B.",26
"Aix-en-Provence","Sevilla",46
"Aix-en-Provence","Siegburg Michaelsberg O.S.B.",22
"Aix-en-Provence","Sion-en-Valais",35
"Aix-en-Provence","Sisteron",80
"Aix-en-Provence","Soissons",35
"Aix-en-Provence","Strasbourg",55
"Aix-en-Provence","Tarbes",37
"Aix-en-Provence","Tarentaise",53
"Aix-en-Provence","Thérouanne [1401 to 1500]",27
"Aix-en-Provence","Thérouanne [1488]",21
"Aix-en-Provence","Tiron Sainte-Trinité O.S.B.",31
"Aix-en-Provence","Toul",35
"Aix-en-Provence","Toulouse",80
"Aix-en-Provence","Tournai",25
"Aix-en-Provence","Tournus",28
"Aix-en-Provence","Tours [1401 to 1600]",26
"Aix-en-Provence","Tours [1501 to 1600]",45
