"from","to"
"2395","V_Châlons-en-Champagne"
"2395","D_Châlons-en-Champagne"
"2396","V_Besançon"
"2396","D_Besançon"
"2400","V_Paris"
"2400","D_Paris"
"2401","V_Roma"
"2401","D_Roma"
"2402","V_Paris"
"2403","V_Paris"
"2403","D_Paris"
"2405","V_Rouen"
"2408","V_Le Mans"
"2413","V_Paris"
"2413","D_Paris"
"2416","V_Roma"
"2416","D_Roma"
"2422","V_Thérouanne"
"2423","V_Avranches"
"2423","D_Sens"
"2424","V_Tours"
"2425","V_Tours"
"2426","V_Arras"
"2430","V_Meaux"
"2430","D_Meaux"
"2431","D_Évreux"
"2433","V_Roma"
"2433","D_Roma"
"2438","D_Paris"
"2441","V_Metz"
"2446","V_Rouen"
"2447","V_Orléans"
"2454","D_Chartres"
"2457","V_Paris"
"2457","D_Paris"
"2459","V_Rouen"
"2463","D_Saint-Pol-de-Léon"
"2465","V_Chartres"
"2466","V_Rouen"
"2467","V_Bourges"
"2470","V_Tournai"
"2471","D_Paris"
"2472","V_Amiens"
"2473","V_Lisieux"
"2474","V_Limoges"
"2478","V_O.Hosp."
"2479","V_Paris"
"2480","V_Quimper"
"2481","V_Metz"
"2484","V_Chartres"
"2485","V_Rouen"
"2487","V_Rouen"
"2488","V_Rouen"
"2492","V_Amiens"
"2492","D_Amiens"
"2494","V_Rouen"
"2495","D_Chartres"
"2496","V_Chartres"
"2499","V_Thérouanne"
"2500","V_Limoges"
"2502","V_Bayeux"
"2503","V_Bourges"
"2509","V_Paris"
"2509","D_Paris"
"2511","V_Roma"
"2511","D_Roma"
"2513","V_Le Mans"
"2518","D_Passau"
"2520","V_Paris"
"2522","V_Paris"
"2523","V_O.P."
"2524","V_Metz"
"2524","D_Metz"
"2525","V_Nantes"
"2526","V_Liège"
"2527","V_Amiens"
"2528","V_Roma"
"2528","D_Roma"
"2529","V_Lausanne O.S.A."
"2529","D_Lausanne O.S.A."
"2530","V_Paris"
"2531","V_Paris"
"2532","V_Paris"
"2533","V_Le Mans"
"2533","D_Angers"
"2534","V_Roma"
"2535","V_Paris"
"2536","V_Rouen"
"2537","V_Roma"
"2538","V_Paris"
"2539","V_Rouen"
"2540","V_Rouen"
"2541","V_Rennes"
"2549","V_Rouen"
"2558","V_Liège"
"2559","D_Saint-Amand-les-Eaux, Saint-Amand O.S.B."
"2560","V_Paris"
"2562","V_Amiens"
"2562","D_Amiens"
"2563","V_Roma"
"2564","V_Roma"
"2564","D_Roma"
"2568","V_Paris"
"2568","D_Paris"
"2569","V_Troyes"
"2570","V_Troyes"
"2572","V_Chalon-sur-Saône"
"2573","V_Paris"
"2573","D_Paris"
"2575","V_Rouen"
"2576","V_Rouen"
"2579","V_Toul"
"2581","V_Roma"
"2582","V_Rouen"
"2582","D_Rouen"
"2584","D_Sarum"
"2586","V_Paris"
"2586","D_Paris"
"2589","V_Châlons-en-Champagne"
"2593","D_Paris"
"2596","V_Amiens"
"2601","V_Le Mans"
"2606","V_Roma"
"2606","D_Roma"
"2607","V_Rouen"
"2608","V_Tournus"
"2609","V_Paris, Saint-Germain des Prés O.S.B."
"2610","V_Phalempin, Saint-Christophe O.S.A."
"2611","D_Paris, Saint-Victor O.S.A."
"2613","V_Orléans"
"2615","V_Thérouanne"
"2616","V_Rouen"
"2617","V_Tours"
"2620","V_Paris"
"2620","D_Paris"
"2621","D_Tours"
"2622","V_Paris"
"2622","D_Paris"
"2626","V_Troyes"
"2628","V_Reims"
"2632","V_Amiens"
"2633","V_Rennes"
"2637","D_Paris"
"2641","V_Conques O.S.B."
"2646","V_Rouen"
"2655","V_Roma"
