"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","rowname.unlist","n"
"664",NA,72,24,NA,32,57,68,NA,36,46,79,38,"Le Puy_ARS278",1
"665",NA,72,24,NA,57,32,40,NA,68,18,38,NA,"St. Ghislain_BRU10769",1
"666",NA,72,24,NA,NA,NA,NA,NA,68,28,40,NA,"Roman_SOL17",1
"667",NA,72,29,NA,13,93,83,NA,58,25,38,NA,"Winchester_CAM163",1
"668",NA,72,32,NA,57,24,68,NA,28,46,NA,NA,"Soissons_BN16306K",1
"669",NA,72,32,NA,68,57,82,NA,NA,NA,NA,NA,"Angers_BN23668",1
"670",NA,72,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,"_BN4173",1
"671",NA,72,82,NA,1,28,93,NA,53,68,38,NA,"Troyes_TROY1149",1
"672",NA,72,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,"Besancon_BN27948",1
"673",NA,NA,32,NA,57,24,68,NA,NA,NA,38,NA,"Meaux_ARS2977",1
"674",NA,NA,44,NA,10,47,58,NA,1,79,NA,NA,"Linköping_CPHRA",1
"675",NA,NA,72,NA,24,68,40,NA,89,46,38,NA,"Cambrai_CAMBR28",1
"676",NA,NA,NA,NA,32,57,28,NA,68,NA,NA,NA,"Sarum_BN27714",1
"677",NA,NA,NA,NA,32,57,28,NA,NA,NA,NA,NA,"Rennes_BN23686",1
"678",NA,NA,NA,NA,47,1,18,NA,58,10,38,NA,"Münster_GRGT(1)A",1
"679",NA,NA,NA,NA,57,24,68,NA,28,46,40,38,"Paris_BN15613",1
"680",NA,NA,NA,NA,57,24,68,NA,28,46,NA,NA,"Clermont-Ferrand_S.LON(14)",1
"681",NA,NA,NA,NA,NA,32,40,NA,68,18,NA,NA,"Premonstratensian_FALKNER4",1
"682",NA,NA,NA,NA,NA,49,83,NA,58,1,38,NA,"_OXF572",1
"683",NA,NA,NA,NA,NA,57,28,NA,68,82,38,NA,"Sarum_BL2856",1
"684",NA,NA,NA,NA,NA,57,68,NA,28,40,38,NA,"_MTMARIO",1
"685",NA,NA,NA,NA,NA,57,NA,NA,NA,NA,38,NA,"Toul_FALKNER3",1
"686",NA,NA,NA,NA,NA,NA,1,NA,58,76,18,NA,"Bamberg_BAMB25A",1
"687",NA,NA,NA,NA,NA,NA,10,NA,18,83,58,NA,"Montieramey_TROY721A",1
"688",NA,NA,NA,NA,NA,NA,37,NA,46,38,NA,NA,"Nantes_PAR1527",1
"689",NA,NA,NA,NA,NA,NA,79,NA,83,40,38,NA,"Gap_EBAMS5",1
"690",NA,NA,NA,NA,NA,NA,NA,NA,24,46,38,NA,"Soissons_BN2354D",1
"691",NA,NA,NA,NA,NA,NA,NA,NA,40,79,38,1,"St. Jean-de-Maurienne_BN1090",1
"692",NA,NA,NA,NA,NA,NA,NA,NA,68,28,46,NA,"St. Savin-en-Lavedan_TOUL70",1
"693",NA,NA,NA,NA,NA,NA,NA,NA,71,79,38,NA,"Montecassino_MAZ364",1
"694",NA,NA,NA,NA,NA,NA,NA,NA,79,83,38,NA,"Besancon_CHAL24",1
"695",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,38,NA,"Senlis_BN6333",1
"696",NA,NA,NA,NA,NA,NA,NA,NA,NA,51,40,NA,"Lucon_S.LON(9)",1
"697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,"_MAZ384 Paris_BN10529",2
