"from","to","Weight"
"Metz_ARS570","Coutances_BN786D","9"
"Metz_ARS570","Lisieux_GEN113","9"
"Metz_ARS570","Rouen_ROUEN326","9"
"Metz_ARS570","_S.1935-5","9"
"Metz_ARS570","Brigittine (Syon)_OXF4","9"
"Metz_ARS570","Aberdeen_ABERDSN","9"
"Metz_ARS570","Rouen_BN10549","9"
"Metz_ARS570","St. Maur Verdun_EPIN235","9"
"Sarum_BL305","Templars_BN10478D","9"
"Sarum_BL305","Rennes_S.1893","9"
"Sarum_BL305","Oxford_VAT4757","9"
"Sarum_BL305","Rouen_BN4600","9"
"Sarum_BL305","_HAAG68","9"
"Sarum_BL305","St. Arnulf_METZ333","9"
"Sarum_BL305","Lisieux_CAEN17","9"
"Sarum_BL305","Coutances_S.1953-2","9"
"Sarum_BL305","The Hague_HAAG73B","9"
"Sarum_BL305","Hospitallers_BN1400","9"
"Sarum_BL305","Hours of Marie de Bohun_CPHT547","9"
"Sarum_BL305","Montieramey_BN1063","9"
"Sarum_BL305","Seez_BN1272","9"
"Sarum_BL305","St. Lo-de-Rouen_GEN1265","9"
"Sarum_BL305","St. Jacut-de-la-Mer_BN3081","9"
"Sarum_BL305","St. Sauveur Toul_BN17998","9"
"Sarum_BL305","St. Lo-de-Coutances_GEN2722","9"
"Sarum_BL305","Dol_OXF26","9"
"Sarum_BL305","Aversa_VAT12","9"
"Sarum_BL305","Vannes_GEN225","9"
"Sarum_BL305","Crowland_BL230","9"
"Sarum_BL305","Sarum_EDINB13","9"
"Sarum_BL305","Coutances_BN786D","9"
"Sarum_BL305","Lisieux_GEN113","9"
"Sarum_BL305","Rouen_ROUEN326","9"
"Sarum_BL305","_S.1935-5","9"
"Sarum_BL305","Brigittine (Syon)_OXF4","9"
"Sarum_BL305","Aberdeen_ABERDSN","9"
"Sarum_BL305","Rouen_BN10549","9"
"Sarum_BL305","St. Maur Verdun_EPIN235","9"
"Templars_BN10478D","Rennes_S.1893","9"
"Templars_BN10478D","Oxford_VAT4757","9"
"Templars_BN10478D","Rouen_BN4600","9"
"Templars_BN10478D","_HAAG68","9"
"Templars_BN10478D","St. Arnulf_METZ333","9"
"Templars_BN10478D","Lisieux_CAEN17","9"
"Templars_BN10478D","Coutances_S.1953-2","9"
"Templars_BN10478D","The Hague_HAAG73B","9"
"Templars_BN10478D","Hospitallers_BN1400","9"
"Templars_BN10478D","Hours of Marie de Bohun_CPHT547","9"
"Templars_BN10478D","Montieramey_BN1063","9"
"Templars_BN10478D","Seez_BN1272","9"
"Templars_BN10478D","St. Lo-de-Rouen_GEN1265","9"
"Templars_BN10478D","St. Jacut-de-la-Mer_BN3081","9"
"Templars_BN10478D","St. Sauveur Toul_BN17998","9"
"Templars_BN10478D","St. Lo-de-Coutances_GEN2722","9"
"Templars_BN10478D","Dol_OXF26","9"
"Templars_BN10478D","Aversa_VAT12","9"
"Templars_BN10478D","Vannes_GEN225","9"
"Templars_BN10478D","Crowland_BL230","9"
"Templars_BN10478D","Sarum_EDINB13","9"
"Templars_BN10478D","Coutances_BN786D","9"
"Templars_BN10478D","Lisieux_GEN113","9"
"Templars_BN10478D","Rouen_ROUEN326","9"
"Templars_BN10478D","_S.1935-5","9"
"Templars_BN10478D","Brigittine (Syon)_OXF4","9"
"Templars_BN10478D","Aberdeen_ABERDSN","9"
"Templars_BN10478D","Rouen_BN10549","9"
"Templars_BN10478D","St. Maur Verdun_EPIN235","9"
"Rennes_S.1893","Oxford_VAT4757","9"
"Rennes_S.1893","Rouen_BN4600","9"
"Rennes_S.1893","_HAAG68","9"
"Rennes_S.1893","St. Arnulf_METZ333","9"
"Rennes_S.1893","Lisieux_CAEN17","9"
"Rennes_S.1893","Coutances_S.1953-2","9"
"Rennes_S.1893","The Hague_HAAG73B","9"
"Rennes_S.1893","Hospitallers_BN1400","9"
"Rennes_S.1893","Hours of Marie de Bohun_CPHT547","9"
"Rennes_S.1893","Montieramey_BN1063","9"
"Rennes_S.1893","Seez_BN1272","9"
"Rennes_S.1893","St. Lo-de-Rouen_GEN1265","9"
"Rennes_S.1893","St. Jacut-de-la-Mer_BN3081","9"
"Rennes_S.1893","St. Sauveur Toul_BN17998","9"
"Rennes_S.1893","St. Lo-de-Coutances_GEN2722","9"
"Rennes_S.1893","Dol_OXF26","9"
"Rennes_S.1893","Aversa_VAT12","9"
"Rennes_S.1893","Vannes_GEN225","9"
