"Source","Target","Weight"
"Bayeux_BAYEUX74D","Sarum_S.1953-1","7"
"Bayeux_BAYEUX74D","Jerusalem_BL1139","8"
"Bayeux_BAYEUX74D","Hospitallers_MAZ355","8"
"Bayeux_BAYEUX74D","Marguerite's Hours_BL36684","8"
"Bayeux_BAYEUX74D","Brigittine_UPS489","8"
"Bayeux_BAYEUX74D","Blaubeuren_STUTT118","8"
"Bayeux_BAYEUX74D","Bayeux_GEN2712","8"
"Bayeux_BAYEUX74D","Zwiefalten_STUTT117","8"
"Bayeux_BAYEUX74D","Remiremont_BN1508","8"
"Bayeux_BAYEUX74D","Hospitallers_STRASN1","8"
"Bayeux_BAYEUX74D","Zwiefalten_STUTT116","8"
"Bayeux_BAYEUX74D","Blaubeuren_STUTT222","8"
"Bayeux_BAYEUX74D","Camaldolese (Rome)_VAT7599","7"
"Bayeux_BAYEUX74D","Camaldolese (Rome)_VAT7722","7"
"Bayeux_BAYEUX74D","Camaldolese (Florence)_BL27171","7"
"Bayeux_BAYEUX74D","Camaldolese_MIL1048","7"
"Bayeux_BAYEUX74D","St. Eutizio_VALL8","7"
"Bayeux_BAYEUX74D","Camaldolese_TOL14","7"
"Bayeux_BAYEUX74D","Nursia_VALL5","7"
"Bayeux_BAYEUX74D","Zwiefalten_KRL60B","7"
"Bayeux_BAYEUX74D","St. Lambrecht_BL18306B","7"
"Bayeux_BAYEUX74D","Ochsenhausen_STUTT117","7"
"Bayeux_BAYEUX74D","Dominican_CLG20","7"
"Bayeux_BAYEUX74D","Ste Croix Paris_MAZ372","7"
"Bayeux_BAYEUX74D","Teutonic Order_FULD122B","7"
"Bayeux_BAYEUX74D","_STKH102","7"
"Bayeux_BAYEUX74D","Uppsala_STKHTL","7"
"Bayeux_BAYEUX74D","Skara_UPS97","7"
"Bayeux_BAYEUX74D","Västeras_GEN1292","7"
"Bayeux_BAYEUX74D","Abo_STKHSN1","7"
"Bayeux_BAYEUX74D","Mercedarians_MADR14265","7"
"Bayeux_BAYEUX74D","Dominican_CPHN632","7"
"Bayeux_BAYEUX74D","Nidaros_CPHN133","7"
"Bayeux_BAYEUX74D","Carmelite_BLU-C","7"
"Bayeux_BAYEUX74D","Hereford_HEREFDSN","7"
"Bayeux_BAYEUX74D","Lincoln_BL38116","7"
"Bayeux_BAYEUX74D","Metz_ARS570","7"
"Bayeux_BAYEUX74D","Sarum_BL305","7"
"Bayeux_BAYEUX74D","Templars_BN10478D","7"
"Bayeux_BAYEUX74D","Reenes_S.1893","7"
