"","Work.RecordTitle","n"
"179","Divinitatis atque humanitatis | HORAE | | Lesson | h358",1
"180","Dixit autem maria ad angelum | HORAE | Luke 1:34-38 | Lesson | h359",1
"181","Dixit Dominus Domino meo :Sede a dextris meis,donec ponam inimicos tuos scabellum pedum tuorum. Virg | HORAE | Psalm 109 | Psalm | h360",149
"182","Domine Jesu Christe fili Dei viui, pone passionem, crucem et mortem tuam inter iudicium tuum et anim | HORAE | | Oration | h367",1
"183","Domine miserere nostri te enim exspectavimus ; esto brachium nostrum in mane, et salus nostra in tem | HORAE | Isaiah 33:2 | Short lesson | h370",1
"184","Domine, Dominus noster,quam admirabile est nomen tuum in universa terra !quoniam elevata est magnifi | HORAE | Psalm 8 | Psalm | h378",190
"185","Domine, ne in furore tuo arguas me,neque in ira tua corripias me : quoniam sagittae tuae infixae sun | HORAE | Psalm 37 | Psalm | h382",1
"186","Domine, ne in furore tuo arguas me,neque in ira tua corripias me. Miserere mei, Domine, quoniam infi | HORAE | Psalm 6 | Psalm | h383",4
"187","Domine, non est exaltatum cor meum,neque elati sunt oculi mei,neque ambulavi in magnis,neque in mira | HORAE | Psalm 130 | Psalm | h384",157
"188","Domine, quid multiplicati sunt qui tribulant me ?Multi insurgunt adversum me ; multi dicunt animae m | HORAE | Psalm 3 | Psalm | h385",10
"189","Domine, quis habitabit in tabernaculo tuo ?aut quis requiescet in monte sancto tuo ? Qui ingreditur | HORAE | Psalm 14 | Psalm | h386",5
"190","Domini est terra, et plenitudo ejus ;orbis terrarum, et universi qui habitant in eo. Quia ipse super | HORAE | Psalm 23 | Psalm | h387",176
"191","Dominus possedit me in initio viarum suarum antequam quidquam faceret a principio | HORAE | Proverbs 8:22 | Short lesson | h391",1
"192","Dominus regnavit : exsultet terra ;laetentur insulae multae. Nubes et caligo in circuitu ejus ;justi | HORAE | Psalm 96 | Psalm | h393",13
"193","Dominus regnavit : irascantur populi ;qui sedet super cherubim : moveatur terra. Dominus in Sion mag | HORAE | Psalm 98 | Psalm | h394",8
"194","Dominus regnavit, decorem indutus est :indutus est Dominus fortitudinem, et praecinxit se.Etenim fir | HORAE | Psalm 92 | Psalm | h395",200
"195","Dominus tecum | Cantus ID a01428a | Luke 1:28 | Verse | h397",3
"196","Domus pudici pectoris templum repente fit dei intacta nesciens virum concepit alvo filium | Cantus ID 8248.1 | AH 65 | Hymn | h398",1
"197","Dum esset rex in accubitu suo nardus mea dedit odorem suavitatis | Cantus ID 002450 | Song of songs 1:11 | Antiphon | h401",3
"198","Ecce ancilla domini | Cantus ID 800126 | Luke 1:38 | Versicle | h405",30
"199","Ecce ancilla domini fiat mihi secundum verbum tuum | Cantus ID 002491 | Luke 1:38 | Antiphon | h406",6
"200","Ecce completa sunt omnia | HORAE | Luke 1:45 | Short lesson | h409",1
"201","Ecce completa sunt omnia quae dicta sunt per angelum de virgine Maria | Cantus ID 002498 | Luke 1:45 | Antiphon | h410",60
